id,priority,name_en,name_ko,ra_deg,dec_deg,mag,dist_ly,spect,size_arcmin,con,type
sun,1,Sun,태양,variable,variable,variable,,,,,sun
moon,1,Moon,달,variable,variable,variable,,,,,moon
planet:mercury,2,Mercury,수성,variable,variable,variable,,,,,planet
planet:venus,1,Venus,금성,variable,variable,variable,,,,,planet
planet:mars,1,Mars,화성,variable,variable,variable,,,,,planet
planet:jupiter,1,Jupiter,목성,variable,variable,variable,,,,,planet
planet:saturn,1,Saturn,토성,variable,variable,variable,,,,,planet
planet:uranus,2,Uranus,천왕성,variable,variable,variable,,,,,planet
planet:neptune,3,Neptune,해왕성,variable,variable,variable,,,,,planet
star:HIP32349,1,Sirius,시리우스,101.28722,-16.71612,-1.44,8.6,A0m...,,CMa,star
star:HIP30438,2,Canopus,카노푸스,95.98792,-52.69566,-0.62,309.2,F0Ib,,Car,star
star:HIP69673,1,Arcturus,아르크투루스,213.91545,19.18241,-0.05,36.7,K2IIIp,,Boo,star
star:HIP91262,1,Vega,베가,279.2346,38.78369,0.03,25,A0Vvar,,Lyr,star
star:HIP24608,1,Capella,카펠라,79.17225,45.99799,0.08,42.8,M1: comp,,Aur,star
star:HIP24436,1,Rigel,리겔,78.63447,-8.20164,0.18,862.9,B8Ia,,Ori,star
star:HIP37279,2,Procyon,프로키온,114.8255,5.22499,0.4,11.5,F5IV-V,,CMi,star
star:HIP27989,1,Betelgeuse,베텔게우스,88.79294,7.40706,0.45,498,M2Ib,,Ori,star
star:HIP97649,1,Altair,알타이르,297.69582,8.86832,0.76,16.7,A7IV-V,,Aql,star
star:HIP21421,1,Aldebaran,알데바란,68.98016,16.5093,0.87,66.6,K5III,,Tau,star
star:HIP80763,1,Antares,안타레스,247.35192,-26.432,1.06,553.8,M1Ib + B2.5V,,Sco,star
star:HIP65474,2,Spica,스피카,201.29825,-11.16132,0.98,249.7,B1V,,Vir,star
star:HIP37826,2,Pollux,폴룩스,116.32916,28.0262,1.16,33.8,K0IIIvar,,Gem,star
star:HIP113368,2,Fomalhaut,포말하우트,344.41257,-29.62224,1.17,25.1,A3V,,PsA,star
star:HIP102098,1,Deneb,데네브,310.35798,45.28034,1.25,1411.9,A2Ia,,Cyg,star
star:HIP49669,2,Regulus,레굴루스,152.09298,11.96721,1.36,79.3,B7V,,Leo,star
star:HIP36850,2,Castor,카스토르,113.64951,31.88828,1.58,50.9,A2Vm,,Gem,star
star:HIP11767,1,Polaris,폴라리스,37.94625,89.26411,1.97,432.6,F7:Ib-IIv SB,,UMi,star
star:HIP65378,1,Mizar,미자르,200.98121,54.92536,2.23,85.8,A2V,,UMa,star
star:HIP95947,1,Albireo,알비레오,292.68035,27.95968,3.05,434.3,K3II+...,,Cyg,star
star:HIP14576,2,Algol,알골,47.04222,40.95565,2.09,89.9,B8V,,Per,star
star:HIP677,2,Alpheratz,알페라츠,2.09687,29.09043,2.07,97,B9p,,And,star
star:HIP10826,3,Mira,미라,34.83663,-2.97764,6.47,299,M5e-M9e,,Cet,star
star:HIP54061,2,Dubhe,두베,165.93233,61.75103,1.81,122.9,F7V comp,,UMa,star
star:HIP67301,2,Alkaid,알카이드,206.88531,49.31327,1.85,103.9,B3V SB,,UMa,star
star:HIP26727,1,Alnitak,알니탁,85.1897,-1.94257,1.74,736.3,O9.5Ib SB,,Ori,star
star:HIP26311,1,Alnilam,알닐람,84.05339,-1.20192,1.69,1976.7,B0Ia,,Ori,star
star:HIP25930,1,Mintaka,민타카,83.00168,-0.29909,2.25,692.5,O9.5II,,Ori,star
star:HIP25336,2,Bellatrix,벨라트릭스,81.28277,6.3497,1.64,252.4,B2III,,Ori,star
star:HIP9884,3,Hamal,하말,31.79333,23.46242,2.01,65.8,K2III,,Ari,star
star:HIP72607,3,Kochab,코카브,222.67658,74.15551,2.07,130.9,K4IIIvar,,UMi,star
const:Ari,3,Aries,양자리,42,22,,,,,Ari,constellation (가을)
const:Tau,1,Taurus,황소자리,54,15,,,,,Tau,constellation (겨울)
const:Gem,2,Gemini,쌍둥이자리,107.25,23.5,,,,,Gem,constellation (겨울)
const:Cnc,3,Cancer,게자리,128.25,27,,,,,Cnc,constellation (봄)
const:Leo,2,Leo,사자자리,159,15,,,,,Leo,constellation (봄)
const:Vir,2,Virgo,처녀자리,199.5,-4,,,,,Vir,constellation (봄)
const:Lib,3,Libra,천칭자리,231,-26,,,,,Lib,constellation (여름)
const:Sco,1,Scorpius,전갈자리,249,-38,,,,,Sco,constellation (여름)
const:Sgr,2,Sagittarius,궁수자리,292.5,-34,,,,,Sgr,constellation (여름)
const:Cap,3,Capricornus,염소자리,315,-22,,,,,Cap,constellation (가을)
const:Aqr,3,Aquarius,물병자리,337.5,-5,,,,,Aqr,constellation (가을)
const:Psc,3,Pisces,물고기자리,19.5,15,,,,,Psc,constellation (가을)
const:Ori,1,Orion,오리온자리,84,13,,,,,Ori,constellation (겨울)
const:UMa,1,Ursa Major,큰곰자리,165,48,,,,,UMa,constellation (북극)
const:UMi,1,Ursa Minor,작은곰자리,226.5,68,,,,,UMi,constellation (북극)
const:Cas,1,Cassiopeia,카시오페이아자리,354,55.5,,,,,Cas,constellation (북극)
const:Cyg,1,Cygnus,백조자리,307.5,50,,,,,Cyg,constellation (여름)
const:Lyr,1,Lyra,거문고자리,279,30,,,,,Lyr,constellation (여름)
const:Aql,1,Aquila,독수리자리,291,8,,,,,Aql,constellation (여름)
