caldwell,ngc_ic,name_en,name_ko,type,source,confidence,needs_review
1,NGC188,,,OCl,Caldwell catalogue (Moore 1995) | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
2,NGC40,Bow-Tie Nebula,나비넥타이성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
3,NGC4236,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
4,NGC7023,Iris Nebula,아이리스성운,RfN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
5,IC342,Hidden Galaxy,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
6,NGC6543,Cat's Eye Nebula,고양이눈성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
7,NGC2403,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
8,NGC559,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
9,Sh2-155,Cave Nebula,동굴성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
10,NGC663,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
11,NGC7635,Bubble Nebula,거품성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
12,NGC6946,Fireworks Galaxy,불꽃놀이은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
13,NGC457,Owl Cluster,ET성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.kasi.re.kr/kor/publication/post/photoGallery/4568?cPage=10&clsf_cd=photo005,high,false
14,NGC869/NGC884,Double Cluster,페르세우스 이중성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
15,NGC6826,Blinking Planetary,깜빡이는 행성상성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
16,NGC7243,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
17,NGC147,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
18,NGC185,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
19,IC5146,Cocoon Nebula,고치성운,Cl+N,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.kasi.re.kr/kor/publication/post/photoGallery/4409 | https://www.kasi.re.kr/publication/post/photoGallery/4536?cPage=48,high,false
20,NGC7000,North America Nebula,북아메리카성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
21,NGC4449,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
22,NGC7662,Blue Snowball Nebula,푸른 눈덩이 성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/NGC_7662,high,false
23,NGC891,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
24,NGC1275,Perseus A,페르세우스 A,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
25,NGC2419,Intergalactic Wanderer,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
26,NGC4244,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
