iau_abbr,name_en,name_ko,genitive_en,season_kr,note,source,confidence,needs_review
And,Andromeda,안드로메다자리,Andromedae,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Ant,Antlia,공기펌프자리,Antliae,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Aps,Apus,극락조자리,Apodis,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Aql,Aquila,독수리자리,Aquilae,여름,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Aqr,Aquarius,물병자리,Aquarii,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Ara,Ara,제단자리,Arae,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Ari,Aries,양자리,Arietis,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Aur,Auriga,마차부자리,Aurigae,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Boo,Boötes,목동자리,Boötis,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cae,Caelum,조각칼자리,Caeli,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cam,Camelopardalis,기린자리,Camelopardalis,북극,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 별자리 전체가 주극성이라는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cap,Capricornus,염소자리,Capricorni,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Car,Carina,용골자리,Carinae,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cas,Cassiopeia,카시오페이아자리,Cassiopeiae,북극,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 별자리 전체가 주극성이라는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cen,Centaurus,센타우루스자리,Centauri,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cep,Cepheus,세페우스자리,Cephei,북극,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 별자리 전체가 주극성이라는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cet,Cetus,고래자리,Ceti,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cha,Chamaeleon,카멜레온자리,Chamaeleontis,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cir,Circinus,컴퍼스자리,Circini,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
CMa,Canis Major,큰개자리,Canis Majoris,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
CMi,Canis Minor,작은개자리,Canis Minoris,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cnc,Cancer,게자리,Cancri,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Col,Columba,비둘기자리,Columbae,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Com,Coma Berenices,머리털자리,Comae Berenices,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
CrA,Corona Australis,남쪽왕관자리,Coronae Australis,여름,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
CrB,Corona Borealis,북쪽왕관자리,Coronae Borealis,여름,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Crt,Crater,컵자리,Crateris,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cru,Crux,남십자자리,Crucis,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Crv,Corvus,까마귀자리,Corvi,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
CVn,Canes Venatici,사냥개자리,Canum Venaticorum,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
Cyg,Cygnus,백조자리,Cygni,여름,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high,false
