id,name_en,name_ko,alt_names_ko,note,source,confidence,needs_review
M31,Andromeda Galaxy,안드로메다은하,안드로메다 은하|안드로메다 대성운,NGC 224,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M32,,M32,,안드로메다은하의 동반 은하,,high,true
M110,,M110,,안드로메다은하의 동반 은하,,high,true
M33,Triangulum Galaxy,삼각형자리은하,삼각형자리 은하|바람개비은하(혼동 주의),NGC 598,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M42,Orion Nebula,오리온대성운,오리온 대성운|오리온성운|오리온 성운,NGC 1976,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M43,De Mairan's Nebula,드 메랑 성운,드 모이란 성운,NGC 1982,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_43,medium,false
M45,Pleiades,플레이아데스성단,플레이아데스|좀생이별|묘성|플레이아데스 성단,황소자리 산개성단 · 28수 묘수,위키백과 ko | https://www.kasi.re.kr/publication/post/photoGallery/4470?cPage=46,high,false
M44,Beehive Cluster,프레세페성단,프레세페|벌집성단|귀수|벌집 성단|프래세페 성단|프레세페 성단,게자리 산개성단 · 28수 귀수,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록 | https://www.kasi.re.kr/kor/publication/post/photoGallery/4435?cPage=19&clsf_cd=photo005,high,false
M13,Hercules Globular Cluster,헤르쿨레스 대성단,헤르쿨레스자리 구상성단|허큘리스 대성단,NGC 6205,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M92,,M92,헤르쿨레스자리 구상성단 M92,NGC 6341,,high,true
M3,,M3,사냥개자리 구상성단,NGC 5272,,high,true
M5,,M5,뱀자리 구상성단,NGC 5904,,high,true
M57,Ring Nebula,고리성운,고리 성운|링 성운,NGC 6720,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M27,Dumbbell Nebula,아령성운,아령 성운|덤벨 성운,NGC 6853,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M51,Whirlpool Galaxy,소용돌이은하,소용돌이 은하|부자은하|부자 은하,NGC 5194,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M81,Bode's Galaxy,보데은하,보데 은하,NGC 3031,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M82,Cigar Galaxy,시가은하,시가 은하|담배은하,NGC 3034,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M101,Pinwheel Galaxy,바람개비은하,바람개비 은하,NGC 5457,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M104,Sombrero Galaxy,솜브레로은하,솜브레로 은하,NGC 4594,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M8,Lagoon Nebula,라군성운,석호성운|라군 성운|석호 성운,NGC 6523,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M20,Trifid Nebula,삼렬성운,삼렬 성운|삼엽성운|삼열 성운,NGC 6514,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M17,Omega Nebula,오메가성운,오메가 성운|백조성운|말굽성운|백조 성운|가재 성운|말굽 성운,NGC 6618,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록 | https://www.kasi.re.kr/kor/publication/post/photoGallery/4474,high,false
M16,Eagle Nebula,독수리성운,독수리 성운,NGC 6611 · 창조의 기둥,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M22,Sagittarius Cluster,궁수자리 성단,궁수자리 구상성단|궁수자리 성단,NGC 6656,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M11,Wild Duck Cluster,야생오리성단,들오리성단|야생 오리 성단|야생오리 성단,NGC 6705,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M6,Butterfly Cluster,나비성단,나비 성단,NGC 6405,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M7,Ptolemy Cluster,프톨레마이오스성단,프톨레마이오스 성단,NGC 6475,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M35,,M35,쌍둥이자리 산개성단,NGC 2168,,high,true
M36,Pinwheel Cluster,M36,마차부자리 산개성단,NGC 1960,,high,true
M37,,M37,마차부자리 산개성단,NGC 2099,,high,true
M38,Starfish Cluster,M38,불가사리성단,NGC 1912,,medium,true
M41,,M41,큰개자리 산개성단,NGC 2287,,high,true
M46,,M46,고물자리 산개성단,NGC 2437,,high,true
M47,,M47,고물자리 산개성단,NGC 2422,,high,true
M67,,M67,게자리 산개성단,NGC 2682,,high,true
M15,Pegasus Cluster,페가수스 성단,페가수스자리 구상성단|페가수스 성단,NGC 7078,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M2,,M2,물병자리 구상성단,NGC 7089,,high,true
M39,,M39,백조자리 산개성단,NGC 7092,,high,true
M103,,M103,카시오페이아자리 산개성단,NGC 581,,high,true
M4,,M4,전갈자리 구상성단,NGC 6121,,high,true
M10,,M10,뱀주인자리 구상성단,NGC 6254,,high,true
M12,,M12,뱀주인자리 구상성단,NGC 6218,,high,true
M29,,M29,백조자리 산개성단,NGC 6913,,high,true
M34,,M34,페르세우스자리 산개성단,NGC 1039,,high,true
M52,,M52,카시오페이아자리 산개성단,NGC 7654,,high,true
M78,,M78,오리온자리 반사성운,NGC 2068,,high,true
M1,Crab Nebula,게성운,게 성운,NGC 1952 · 초신성 잔해,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M97,Owl Nebula,올빼미성운,올빼미 성운|부엉이성운,NGC 3587,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M64,Black Eye Galaxy,검은눈은하,검은 눈 은하,NGC 4826,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M63,Sunflower Galaxy,해바라기은하,해바라기 은하,NGC 5055,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M74,Phantom Galaxy,M74,유령은하,NGC 628,,medium,true
M76,Little Dumbbell Nebula,작은아령성운,작은 아령 성운,NGC 650/651,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M65,,M65,사자자리 세쌍둥이 은하,NGC 3623,,high,true
M66,,M66,사자자리 세쌍둥이 은하,NGC 3627,,high,true
M87,Virgo A,처녀자리 A,M87 은하|처녀자리 A 은하,NGC 4486 · 블랙홀 이미지,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M83,Southern Pinwheel Galaxy,남쪽바람개비은하,남쪽 바람개비 은하,NGC 5236,위키백과 ko | https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M24,Sagittarius Star Cloud,궁수자리 별구름,작은 궁수자리 별구름,,위키백과 ko,medium,true
M25,,M25,궁수자리 산개성단,IC 4725,,high,true
M23,,M23,궁수자리 산개성단,NGC 6494,,high,true
M40,Winnecke 4,M40,비네케 4,이중성,,high,true
M73,,M73,별 4개 무리,NGC 6994,,high,true
