hip,iau_name_en,name_ko,traditional_ko,note,source,confidence,needs_review
32349,Sirius,시리우스,천랑성,큰개자리 α · 가장 밝은 별,IAU WGSN; 위키백과 ko,high,true
30438,Canopus,카노푸스,노인성,용골자리 α · 남극노인성,IAU WGSN; 위키백과 ko,high,true
69673,Arcturus,아르크투루스,,목동자리 α,IAU WGSN,high,true
91262,Vega,베가,직녀성,거문고자리 α,IAU WGSN; 위키백과 ko,high,true
24608,Capella,카펠라,,마차부자리 α,IAU WGSN,high,true
24436,Rigel,리겔,,오리온자리 β,IAU WGSN,high,true
37279,Procyon,프로키온,,작은개자리 α,IAU WGSN,high,true
27989,Betelgeuse,베텔게우스,,오리온자리 α,IAU WGSN,high,true
97649,Altair,알타이르,견우성,독수리자리 α · 통속적 견우(전통 견우는 염소자리 β 다비흐라는 설도 있음),IAU WGSN; 위키백과 ko,high,true
21421,Aldebaran,알데바란,,황소자리 α,IAU WGSN,high,true
80763,Antares,안타레스,,전갈자리 α · 28수 심수의 대화(大火),IAU WGSN,high,true
65474,Spica,스피카,,처녀자리 α · 28수 각수,IAU WGSN,high,true
37826,Pollux,폴룩스,,쌍둥이자리 β,IAU WGSN,high,true
113368,Fomalhaut,포말하우트,,남쪽물고기자리 α,IAU WGSN,high,true
102098,Deneb,데네브,,백조자리 α,IAU WGSN,high,true
49669,Regulus,레굴루스,,사자자리 α,IAU WGSN,high,true
36850,Castor,카스토르,,쌍둥이자리 α,IAU WGSN,high,true
11767,Polaris,폴라리스,북극성,작은곰자리 α,IAU WGSN; 위키백과 ko,high,true
65378,Mizar,미자르,,큰곰자리 ζ · 알코르와 쌍,IAU WGSN,high,true
65477,Alcor,알코르,,큰곰자리 80,IAU WGSN,high,true
95947,Albireo,알비레오,,백조자리 β · 색 대비 이중성,IAU WGSN,high,true
14576,Algol,알골,,페르세우스자리 β · 식변광성,IAU WGSN,high,true
677,Alpheratz,알페라츠,,안드로메다자리 α,IAU WGSN,high,true
10826,Mira,미라,,고래자리 ο · 장주기 변광성,IAU WGSN,high,true
54061,Dubhe,두베,,큰곰자리 α · 북두칠성,IAU WGSN,high,true
53910,Merak,메라크,,큰곰자리 β · 북두칠성,IAU WGSN,high,true
58001,Phecda,페크다,,큰곰자리 γ · 북두칠성,IAU WGSN,high,true
59774,Megrez,메그레즈,,큰곰자리 δ · 북두칠성,IAU WGSN,high,true
62956,Alioth,알리오트,,큰곰자리 ε · 북두칠성,IAU WGSN,high,true
67301,Alkaid,알카이드,,큰곰자리 η · 북두칠성,IAU WGSN,high,true
26727,Alnitak,알니탁,,오리온자리 ζ · 허리띠(삼태성으로 통칭되기도 함),IAU WGSN,high,true
26311,Alnilam,알닐람,,오리온자리 ε · 허리띠,IAU WGSN,high,true
25930,Mintaka,민타카,,오리온자리 δ · 허리띠,IAU WGSN,high,true
25336,Bellatrix,벨라트릭스,,오리온자리 γ,IAU WGSN,high,true
