id,name_ko,origin,confidence,draft_written,publication_approved,review_note_count
sun,태양,inherited-80,high,true,false,0
moon,달,inherited-80,high,true,false,0
planet:mercury,수성,inherited-80,high,true,false,0
planet:venus,금성,inherited-80,high,true,false,0
planet:mars,화성,inherited-80,high,true,false,0
planet:jupiter,목성,inherited-80,high,true,false,0
planet:saturn,토성,inherited-80,high,true,false,0
planet:uranus,천왕성,inherited-80,high,true,false,0
planet:neptune,해왕성,inherited-80,high,true,false,0
star:HIP32349,시리우스,inherited-80,medium,true,false,2
star:HIP69673,아르크투루스,inherited-80,medium,true,false,1
star:HIP91262,베가,inherited-80,medium,true,false,1
star:HIP24608,카펠라,inherited-80,low,true,false,2
star:HIP24436,리겔,inherited-80,medium,true,false,1
star:HIP27989,베텔게우스,inherited-80,medium,true,false,3
star:HIP97649,알타이르,inherited-80,medium,true,false,1
star:HIP21421,알데바란,inherited-80,medium,true,false,1
star:HIP80763,안타레스,inherited-80,medium,true,false,2
star:HIP102098,데네브,inherited-80,medium,true,false,2
star:HIP11767,폴라리스,inherited-80,medium,true,false,2
dso:M45,플레이아데스성단,inherited-80,medium,true,false,3
dso:M44,프레세페성단,inherited-80,medium,true,false,3
dso:M42,오리온대성운,inherited-80,medium,true,false,5
dso:M31,안드로메다은하,inherited-80,low,true,false,4
dso:M13,헤르쿨레스 대성단,inherited-80,low,true,false,5
star:HIP95947,알비레오,inherited-80,medium,true,false,4
star:HIP65474,스피카,inherited-80,medium,true,false,4
star:HIP677,알페라츠,inherited-80,medium,true,false,3
dso:M57,고리성운,inherited-80,medium,true,false,4
dso:M27,아령성운,inherited-80,medium,true,false,3
dso:M35,M35,inherited-80,medium,true,false,3
dso:M37,M37,inherited-80,medium,true,false,4
dso:M81,보데은하,inherited-80,medium,true,false,4
dso:M82,시가은하,inherited-80,medium,true,false,4
dso:M3,M3,inherited-80,low,true,false,4
dso:M5,M5,inherited-80,medium,true,false,5
dso:M15,M15,inherited-80,low,true,false,4
dso:NGC869,이중성단(h),inherited-80,medium,true,false,4
dso:NGC884,이중성단(χ),inherited-80,medium,true,false,4
dso:M51,소용돌이은하,inherited-80,low,true,false,5
star:HIP30438,카노푸스,inherited-80,medium,true,false,4
star:HIP37279,프로키온,inherited-80,medium,true,false,3
star:HIP37826,폴룩스,inherited-80,medium,true,false,3
star:HIP113368,포말하우트,inherited-80,medium,true,false,5
star:HIP49669,레굴루스,inherited-80,medium,true,false,3
star:HIP36850,카스토르,inherited-80,medium,true,false,4
star:HIP65378,미자르,inherited-80,medium,true,false,3
star:HIP14576,알골,inherited-80,medium,true,false,4
star:HIP10826,미라,inherited-80,medium,true,false,5
star:HIP54061,두베,inherited-80,low,true,false,4
star:HIP67301,알카이드,inherited-80,medium,true,false,4
star:HIP26727,알니탁,inherited-80,medium,true,false,4
star:HIP26311,알닐람,inherited-80,medium,true,false,4
star:HIP25930,민타카,inherited-80,medium,true,false,3
star:HIP25336,벨라트릭스,inherited-80,medium,true,false,3
star:HIP9884,하말,inherited-80,medium,true,false,3
star:HIP72607,코카브,inherited-80,medium,true,false,4
const:Ari,양자리,inherited-80,medium,true,false,3
const:Tau,황소자리,inherited-80,medium,true,false,2
const:Gem,쌍둥이자리,inherited-80,medium,true,false,2
const:Cnc,게자리,inherited-80,medium,true,false,3
