id,priority,reason
const:CMa,1,시리우스
const:CMi,3,프로키온
const:Her,2,M13
const:Boo,2,아르크투루스
const:Dra,3,주극 · 용자리 유성우
const:Cet,3,미라
const:Cru,3,남십자 · 남반구 여행 안내용
dso:M32,3,M31 동반 은하
dso:M110,3,M31 동반 은하
dso:M33,2,삼각형자리은하
dso:M43,3,드 메랑 성운
dso:M92,3,헤르쿨레스 구상성단
dso:M101,3,바람개비은하 · 어두움
dso:M104,2,솜브레로은하
dso:M8,1,라군성운 · 여름
dso:M20,2,삼렬성운
dso:M17,2,오메가성운
dso:M16,2,독수리성운 · 창조의 기둥
dso:M22,2,궁수자리 구상성단 · 밝음
dso:M11,2,야생오리성단
dso:M6,2,나비성단
dso:M7,2,프톨레마이오스성단
dso:M36,3,마차부자리 산개성단
dso:M38,3,마차부자리 산개성단
dso:M41,2,큰개자리 산개성단 · 쌍안경
dso:M46,3,고물자리 산개성단 · 행성상성운 포함
dso:M47,3,고물자리 산개성단
dso:M67,3,오래된 산개성단
dso:M2,3,물병자리 구상성단
dso:M39,3,백조자리 산개성단 · 쌍안경
dso:M103,3,카시오페이아 산개성단
dso:M4,2,안타레스 옆 구상성단
dso:M10,3,뱀주인자리 구상성단
dso:M12,3,뱀주인자리 구상성단
dso:M29,3,백조자리 산개성단
dso:M34,3,페르세우스자리 산개성단
dso:M52,3,카시오페이아 산개성단
dso:M78,3,오리온 반사성운
dso:NGC7000,2,북아메리카성운 · 어두운 하늘
dso:NGC457,1,ET성단 · 초보 인기
dso:NGC7009,2,토성성운
