id,priority,reason
star:HIP30438,2,카노푸스 · 노인성 · 대전 남쪽 지평선 도전
star:HIP37279,2,프로키온
star:HIP37826,2,폴룩스
star:HIP113368,2,포말하우트 · 가을 외로운 별
star:HIP49669,2,레굴루스
star:HIP36850,2,카스토르 · 이중성
star:HIP65378,1,미자르 · 알코르와 맨눈 이중성 · 북두칠성
star:HIP14576,2,알골 · 식변광성
star:HIP10826,3,미라 · 장주기 변광성
star:HIP54061,2,두베 · 북두칠성 지극성
star:HIP67301,2,알카이드 · 북두칠성
star:HIP26727,1,알니탁 · 오리온 허리띠
star:HIP26311,1,알닐람 · 오리온 허리띠
star:HIP25930,1,민타카 · 오리온 허리띠
star:HIP25336,2,벨라트릭스
star:HIP9884,3,하말 · 양자리
star:HIP72607,3,코카브 · 작은곰자리
const:Ari,3,황도 12궁
const:Tau,1,황도 12궁 · 겨울 · 플레이아데스
const:Gem,2,황도 12궁 · 겨울
const:Cnc,3,황도 12궁 · 프레세페
const:Leo,2,황도 12궁 · 봄
const:Vir,2,황도 12궁 · 봄
const:Lib,3,황도 12궁
const:Sco,1,황도 12궁 · 여름 · 안타레스
const:Sgr,2,황도 12궁 · 은하 중심
const:Cap,3,황도 12궁
const:Aqr,3,황도 12궁 · 가을
const:Psc,3,황도 12궁 · 가을
const:Ori,1,겨울 대표 · 오리온대성운
const:UMa,1,북두칠성 · 봄
const:UMi,1,북극성
const:Cas,1,가을·주극 · W자
const:Cyg,1,여름 · 북십자
const:Lyr,1,직녀성
const:Aql,1,견우성
const:Peg,2,가을 대사각형
const:And,2,안드로메다은하
const:Per,2,알골 · 이중성단
const:Aur,2,카펠라 · 겨울
const:CMa,1,시리우스
const:CMi,3,프로키온
const:Her,2,M13
const:Boo,2,아르크투루스
const:Dra,3,주극 · 용자리 유성우
const:Cet,3,미라
const:Cru,3,남십자 · 남반구 여행 안내용
dso:M32,3,M31 동반 은하
dso:M110,3,M31 동반 은하
dso:M33,2,삼각형자리은하
dso:M43,3,드 메랑 성운
dso:M92,3,헤르쿨레스 구상성단
dso:M101,3,바람개비은하 · 어두움
dso:M104,2,솜브레로은하
dso:M8,1,라군성운 · 여름
dso:M20,2,삼렬성운
dso:M17,2,오메가성운
dso:M16,2,독수리성운 · 창조의 기둥
dso:M22,2,궁수자리 구상성단 · 밝음
dso:M11,2,야생오리성단
dso:M6,2,나비성단
dso:M7,2,프톨레마이오스성단
dso:M36,3,마차부자리 산개성단
dso:M38,3,마차부자리 산개성단
dso:M41,2,큰개자리 산개성단 · 쌍안경
dso:M46,3,고물자리 산개성단 · 행성상성운 포함
dso:M47,3,고물자리 산개성단
dso:M67,3,오래된 산개성단
dso:M2,3,물병자리 구상성단
dso:M39,3,백조자리 산개성단 · 쌍안경
dso:M103,3,카시오페이아 산개성단
dso:M4,2,안타레스 옆 구상성단
dso:M10,3,뱀주인자리 구상성단
dso:M12,3,뱀주인자리 구상성단
dso:M29,3,백조자리 산개성단
dso:M34,3,페르세우스자리 산개성단
dso:M52,3,카시오페이아 산개성단
dso:M78,3,오리온 반사성운
dso:NGC7000,2,북아메리카성운 · 어두운 하늘
dso:NGC457,1,ET성단 · 초보 인기
dso:NGC7009,2,토성성운
