caldwell,ngc_ic,name_en,name_ko,type,source,confidence
1,NGC188,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
2,NGC40,Bow-Tie Nebula,나비넥타이 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
3,NGC4236,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
4,NGC7023,Iris Nebula,아이리스 성운,clusterAndNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
5,IC342,Hidden Galaxy,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
6,NGC6543,Cat's Eye Nebula,고양이 눈 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
7,NGC2403,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
8,NGC559,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
9,Sh2-155,Cave Nebula,,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
10,NGC663,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
11,NGC7635,Bubble Nebula,거품 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
12,NGC6946,Fireworks Galaxy,불꽃놀이 은하,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
13,NGC457,E.T. Cluster; Owl Cluster,ET 성단,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.kasi.re.kr/kor/publication/post/photoGallery/4568?cPage=10&clsf_cd=photo005,medium
14,NGC869;NGC884,Double Cluster,이중성단,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
15,NGC6826,Blinking Planetary Nebula,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
16,NGC7243,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
17,NGC147,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
18,NGC185,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
19,IC5146,Cocoon Nebula,코쿤 성운,clusterAndNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.kasi.re.kr/kor/publication/post/photoGallery/4409 | https://www.kasi.re.kr/publication/post/photoGallery/4536?cPage=48,medium
20,NGC7000,North America Nebula,북아메리카 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
21,NGC4449,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
22,NGC7662,Blue Snowball Nebula,푸른 눈덩이 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/NGC_7662,medium
23,NGC891,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
24,NGC1275,Perseus A,페르세우스자리 A 은하,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
25,NGC2419,Intergalactic Wanderer,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
26,NGC4244,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
27,NGC6888,Crescent Nebula,초승달 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
28,NGC752,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
29,NGC5005,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
