iau_abbr,name_en,name_ko,genitive_en,season_kr,note,source,confidence
And,Andromeda,안드로메다자리,Andromedae,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Ant,Antlia,공기펌프자리,Antliae,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Aps,Apus,극락조자리,Apodis,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Aqr,Aquarius,물병자리,Aquarii,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Aql,Aquila,독수리자리,Aquilae,여름,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Ara,Ara,제단자리,Arae,남천,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 남반구 중심 분류이며 한국에서 전부 보이지 않는다는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Ari,Aries,양자리,Arietis,가을,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Aur,Auriga,마차부자리,Aurigae,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Boo,Boötes,목동자리,Boötis,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Cae,Caelum,조각칼자리,Caeli,겨울,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Cam,Camelopardalis,기린자리,Camelopardalis,북극,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님. 별자리 전체가 주극성이라는 뜻은 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
Cnc,Cancer,게자리,Cancri,봄,한글은 한국천문학회 용어표. season_kr는 북위 약 36도 저녁 관측용 편집 분류이며 공식 계절 규격·가시성 판정이 아님.,https://www.kas.org/down/dictionary/15.pdf | https://www.iau.org/IAU/IAU/Astronomy-FAQs/Constellations.aspx,high
