id,name_en,name_ko,alt_names_ko,note,source,confidence
M1,Crab Nebula,게 성운,,NGC1952.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M6,Butterfly Cluster,나비 성단,,NGC6405. 나비 성운 NGC6302와 다른 천체.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M7,Ptolemy Cluster,프톨레마이오스 성단,,NGC6475.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M8,Lagoon Nebula,석호 성운,,NGC6523.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M11,Wild Duck Cluster,야생오리 성단,,NGC6705.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M13,Great Hercules Cluster,허큘리스 대성단,,NGC6205. 별자리 표준명과 맞춘 표기.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M15,Pegasus Cluster,페가수스 성단,,NGC7078. 지역명형 통용명; 고유명이 아닌 일반 설명으로도 사용됨.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M16,Eagle Nebula,독수리 성운,,M16/NGC6611은 성단과 성운 복합체 문맥을 구분해야 함.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M17,Omega Nebula,오메가 성운,백조 성운;가재 성운;말굽 성운,NGC6618.,https://ko.wikipedia.org/wiki/메시에_천체_목록 | https://www.kasi.re.kr/kor/publication/post/photoGallery/4474,high
M20,Trifid Nebula,삼열 성운,,NGC6514.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M22,Sagittarius Cluster,궁수자리 성단,,NGC6656. 지역명형 통용명.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M27,Dumbbell Nebula,아령 성운,덤벨 성운,NGC6853.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M31,Andromeda Galaxy,안드로메다 은하,,NGC224.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M33,Triangulum Galaxy,삼각형자리 은하,,NGC598.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M42,Orion Nebula,오리온 성운,오리온 대성운,NGC1976.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M43,De Mairan's Nebula,드 모이란 성운,,NGC1982. 오리온 성운 M42에 인접하지만 별도 메시에 항목. 한글은 확인한 위키백과 문서 표제이며 표준 음역을 뜻하지 않음.,https://ko.wikipedia.org/wiki/메시에_43,medium
M44,Praesepe,벌집 성단,프래세페 성단;프레세페 성단,NGC2632.,https://ko.wikipedia.org/wiki/메시에_천체_목록 | https://www.kasi.re.kr/kor/publication/post/photoGallery/4435?cPage=19&clsf_cd=photo005,high
M45,Pleiades,플레이아데스 성단,좀생이별,좀생이별은 성단 전체의 전통 이름이며 알키오네 한 별의 동의어가 아님.,https://www.kasi.re.kr/publication/post/photoGallery/4470?cPage=46,high
M51,Whirlpool Galaxy,소용돌이 은하,부자 은하,주 은하 NGC5194와 동반 은하 NGC5195가 포함되는 사용 범위를 구별.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M57,Ring Nebula,고리 성운,,NGC6720.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M63,Sunflower Galaxy,해바라기 은하,,NGC5055.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M64,Black Eye Galaxy,검은 눈 은하,,NGC4826.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M76,Little Dumbbell Nebula,작은 아령 성운,,NGC650/NGC651.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M77,Cetus A,고래자리 A 은하,,NGC1068.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M81,Bode's Galaxy,보데 은하,,NGC3031.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M82,Cigar Galaxy,시가 은하,,NGC3034.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
